Test : Tempo 1;"15,00000";mm/min
W³aœciwoœci próbki : Etykietka próbki;"13.01_seg9_#1"
W³aœciwoœci próbki : D³ugoœæ;"25,00000";mm
W³aœciwoœci próbki : Szerokoœæ;"6,66000";mm
W³aœciwoœci próbki : Gruboœæ;"2,46000";mm
Odkszta³cenie : Odkszta³cenie 1 d³ugoœæ pomiarowa;"10,00000";mm
Odkszta³cenie : Odkszta³cenie przy rozci¹ganiu (Przemieszczenie) d³ugoœæ pomiarowa;"25,00000";mm

Godzina;Przemieszczenie;Obci¹¿enie;Odkszta³cenie 1
(s);(mm);(N);(mm/mm)
"2,51800";"0,61484";"4674,23242";"0,00388"
"2,53700";"0,61955";"4700,48145";"0,00392"
"2,55600";"0,62424";"4726,56201";"0,00397"
"2,57400";"0,62873";"4751,62061";"0,00402"
"2,59300";"0,63345";"4777,61475";"0,00408"
"2,61200";"0,63817";"4803,60156";"0,00413"
"2,63000";"0,64265";"4828,60303";"0,00419"
"2,64900";"0,64739";"4854,78857";"0,00426"
"2,66800";"0,65210";"4880,08154";"0,00432"
"2,68700";"0,65685";"4905,25195";"0,00438"
"2,70600";"0,66168";"4930,44434";"0,00445"
"2,72600";"0,66673";"4955,88428";"0,00453"
"2,74700";"0,67199";"4981,79443";"0,00460"
"2,76700";"0,67706";"5006,84375";"0,00468"
"2,78800";"0,68232";"5032,24854";"0,00476"
"2,81000";"0,68773";"5057,76758";"0,00485"
"2,83200";"0,69317";"5083,75293";"0,00494"
"2,85300";"0,69841";"5108,87207";"0,00502"
"2,87500";"0,70386";"5134,39014";"0,00510"
"2,89700";"0,70936";"5160,15186";"0,00519"
"2,91900";"0,71484";"5185,31689";"0,00528"
"2,94200";"0,72057";"5211,32568";"0,00539"
"2,96400";"0,72616";"5236,87500";"0,00549"
"2,98600";"0,73179";"5262,04443";"0,00560"
"3,01000";"0,73780";"5287,52197";"0,00572"
"3,03400";"0,74377";"5312,79102";"0,00584"
"3,05900";"0,74989";"5338,13281";"0,00596"
"3,08300";"0,75583";"5363,24658";"0,00607"
"3,10600";"0,76169";"5388,33008";"0,00618"
"3,13100";"0,76801";"5413,94238";"0,00630"
"3,15700";"0,77453";"5439,79248";"0,00642"
"3,18300";"0,78106";"5465,38428";"0,00654"
"3,20900";"0,78756";"5490,49658";"0,00666"
"3,23600";"0,79432";"5516,29980";"0,00679"
"3,26400";"0,80128";"5542,11426";"0,00693"
"3,29100";"0,80807";"5567,41455";"0,00707"
"3,32000";"0,81522";"5592,53320";"0,00721"
"3,34900";"0,82238";"5618,02979";"0,00736"
"3,37700";"0,82943";"5643,30420";"0,00751"
"3,40700";"0,83692";"5668,75537";"0,00767"
"3,43700";"0,84449";"5694,14795";"0,00784"
"3,46800";"0,85230";"5719,36377";"0,00801"
"3,50000";"0,86037";"5744,86426";"0,00818"
"3,53400";"0,86881";"5770,31396";"0,00837"
"3,56900";"0,87745";"5795,76904";"0,00857"
"3,60400";"0,88607";"5821,50244";"0,00877"
"3,63800";"0,89467";"5847,09180";"0,00896"
"3,67500";"0,90395";"5872,75342";"0,00918"
"3,71400";"0,91369";"5898,38916";"0,00942"
"3,75200";"0,92335";"5924,03809";"0,00966"
"3,79400";"0,93391";"5949,24316";"0,00993"
"3,83800";"0,94480";"5974,37549";"0,01022"
"3,87900";"0,95514";"5999,84131";"0,01050"
"3,92600";"0,96684";"6025,22803";"0,01083"
"3,97300";"0,97865";"6050,57910";"0,01116"
"4,02300";"0,99126";"6075,98047";"0,01152"
"4,07800";"1,00489";"6101,12842";"0,01192"
"4,13200";"1,01825";"6126,53369";"0,01231"
"4,18900";"1,03246";"6151,76611";"0,01275"
